####### ELECTION INFO ########
Election Name,State
Sample Prez Primary,MI

####### CONTESTS ########
Contest Name,Targeted?,Number of Winners,Votes Allowed,Total Ballots Cast,Tabulated Votes
POTUS (DEM),Targeted,1,1,2271110,Bennet: 1532; Biden: 838564; Bloomberg: 73175; Booker: 871; Buttigieg: 22374; Castro: 315; Delaney: 466; Gabbard: 9461; Klobuchar: 10969; Sanders: 576916; Sestak: 785; Steyer: 1732; Uncommitted: 19040; Warren: 26051; Williamson: 728; Yang: 2381
POTUS (Rep),Opportunistic,1,1,2271110,Sanford: 4258; Trump: 640522; Uncommitted: 28485; Walsh: 4067; Weld: 6099

####### AUDIT SETTINGS ########
Audit Name,Risk Limit,Random Seed,Online Data Entry?
ThursdayTest,10%,12345123451234512345,Yes

####### AUDIT BOARDS ########
Jurisdiction Name,Audit Board Name,Member 1 Name,Member 1 Affiliation,Member 2 Name,Member 2 Affiliation
Kalamazoo County,Audit Board #1,Snoopy Dog,Independent,Charlie Brown,
Keweenaw County,Audit Board #1,Mickey Mouse,Democrat,Minney Mouse,Republican

####### ROUNDS ########
Round Number,Contest Name,Targeted?,Sample Size,Risk Limit Met?,P-Value,Start Time,End Time,Audited Votes
1,POTUS (DEM),Targeted,226,Yes,.09,2020-05-14T22:25:10.487166,,Bennet: 0; Biden: 130; Bloomberg: 0; Booker: 0; Buttigieg: 0; Castro: 0; Delaney: 0; Gabbard: 0; Klobuchar: 0; Sanders: 96; Sestak: 0; Steyer: 0; Uncommitted: 0; Warren: 0; Williamson: 0; Yang: 0
1,POTUS (Rep),Opportunistic,663,Yes,.07,2020-05-14T22:25:10.487166,,Sanford: 0; Trump: 4; Uncommitted: 0; Walsh: 0; Weld: 0

####### SAMPLED BALLOTS ########
Jurisdiction Name,Batch Name,Ballot Position,Ticket Numbers,Audited?,Audit Result: POTUS (DEM),Audit Result: POTUS (Rep)
County,Board,0,Round 1: 0.000,AUDITED,Sanders,
County,Board,1,Round 1: 0.001,AUDITED,Biden,
County,Board,2,Round 1: 0.002,AUDITED,Sanders,
County,Board,3,Round 1: 0.003,AUDITED,Sanders,
County,Board,4,Round 1: 0.004,AUDITED,Sanders,
County,Board,5,Round 1: 0.005,AUDITED,Sanders,
County,Board,6,Round 1: 0.006,AUDITED,Sanders,
County,Board,7,Round 1: 0.007,AUDITED,Biden,
County,Board,8,Round 1: 0.008,AUDITED,Biden,
County,Board,9,Round 1: 0.009,AUDITED,Sanders,
County,Board,10,Round 1: 0.0010,AUDITED,Sanders,
County,Board,11,Round 1: 0.0011,AUDITED,Biden,
County,Board,12,Round 1: 0.0012,AUDITED,Biden,
County,Board,13,Round 1: 0.0013,AUDITED,Sanders,
County,Board,14,Round 1: 0.0014,AUDITED,Biden,
County,Board,15,Round 1: 0.0015,AUDITED,Biden,
County,Board,16,Round 1: 0.0016,AUDITED,Sanders,
County,Board,17,Round 1: 0.0017,AUDITED,Biden,
County,Board,18,Round 1: 0.0018,AUDITED,Biden,
County,Board,19,Round 1: 0.0019,AUDITED,Biden,
County,Board,20,Round 1: 0.0020,AUDITED,Biden,
County,Board,21,Round 1: 0.0021,AUDITED,Sanders,
County,Board,22,Round 1: 0.0022,AUDITED,Sanders,
County,Board,23,Round 1: 0.0023,AUDITED,Sanders,
County,Board,24,Round 1: 0.0024,AUDITED,Biden,
County,Board,25,Round 1: 0.0025,AUDITED,Biden,
County,Board,26,Round 1: 0.0026,AUDITED,Sanders,
County,Board,27,Round 1: 0.0027,AUDITED,Sanders,
County,Board,28,Round 1: 0.0028,AUDITED,Biden,
County,Board,29,Round 1: 0.0029,AUDITED,Sanders,
County,Board,30,Round 1: 0.0030,AUDITED,Sanders,
County,Board,31,Round 1: 0.0031,AUDITED,Sanders,
County,Board,32,Round 1: 0.0032,AUDITED,Sanders,
County,Board,33,Round 1: 0.0033,AUDITED,Sanders,
County,Board,34,Round 1: 0.0034,AUDITED,Sanders,
County,Board,35,Round 1: 0.0035,AUDITED,Biden,
County,Board,36,Round 1: 0.0036,AUDITED,Sanders,
County,Board,37,Round 1: 0.0037,AUDITED,Biden,
County,Board,38,Round 1: 0.0038,AUDITED,Biden,
County,Board,39,Round 1: 0.0039,AUDITED,Sanders,
County,Board,40,Round 1: 0.0040,AUDITED,Biden,
County,Board,41,Round 1: 0.0041,AUDITED,Sanders,
County,Board,42,Round 1: 0.0042,AUDITED,Sanders,
County,Board,43,Round 1: 0.0043,AUDITED,Sanders,
County,Board,44,Round 1: 0.0044,AUDITED,Sanders,
County,Board,45,Round 1: 0.0045,AUDITED,Sanders,
County,Board,46,Round 1: 0.0046,AUDITED,Biden,
County,Board,47,Round 1: 0.0047,AUDITED,Sanders,
County,Board,48,Round 1: 0.0048,AUDITED,Biden,
County,Board,49,Round 1: 0.0049,AUDITED,Biden,
County,Board,50,Round 1: 0.0050,AUDITED,Biden,
County,Board,51,Round 1: 0.0051,AUDITED,Sanders,
County,Board,52,Round 1: 0.0052,AUDITED,Sanders,
County,Board,53,Round 1: 0.0053,AUDITED,Biden,
County,Board,54,Round 1: 0.0054,AUDITED,Sanders,
County,Board,55,Round 1: 0.0055,AUDITED,Biden,
County,Board,56,Round 1: 0.0056,AUDITED,Sanders,
County,Board,57,Round 1: 0.0057,AUDITED,Biden,
County,Board,58,Round 1: 0.0058,AUDITED,Biden,
County,Board,59,Round 1: 0.0059,AUDITED,Sanders,
County,Board,60,Round 1: 0.0060,AUDITED,Biden,
County,Board,61,Round 1: 0.0061,AUDITED,Sanders,
County,Board,62,Round 1: 0.0062,AUDITED,Biden,
County,Board,63,Round 1: 0.0063,AUDITED,Sanders,
County,Board,64,Round 1: 0.0064,AUDITED,Biden,
County,Board,65,Round 1: 0.0065,AUDITED,Sanders,
County,Board,66,Round 1: 0.0066,AUDITED,Biden,
County,Board,67,Round 1: 0.0067,AUDITED,Biden,
County,Board,68,Round 1: 0.0068,AUDITED,Sanders,
County,Board,69,Round 1: 0.0069,AUDITED,Sanders,
County,Board,70,Round 1: 0.0070,AUDITED,Biden,
County,Board,71,Round 1: 0.0071,AUDITED,Sanders,
County,Board,72,Round 1: 0.0072,AUDITED,Sanders,
County,Board,73,Round 1: 0.0073,AUDITED,Sanders,
County,Board,74,Round 1: 0.0074,AUDITED,Biden,
County,Board,75,Round 1: 0.0075,AUDITED,Biden,
County,Board,76,Round 1: 0.0076,AUDITED,Biden,
County,Board,77,Round 1: 0.0077,AUDITED,Sanders,
County,Board,78,Round 1: 0.0078,AUDITED,Biden,
County,Board,79,Round 1: 0.0079,AUDITED,Biden,
County,Board,80,Round 1: 0.0080,AUDITED,Biden,
County,Board,81,Round 1: 0.0081,AUDITED,Sanders,
County,Board,82,Round 1: 0.0082,AUDITED,Biden,
County,Board,83,Round 1: 0.0083,AUDITED,Sanders,
County,Board,84,Round 1: 0.0084,AUDITED,Sanders,
County,Board,85,Round 1: 0.0085,AUDITED,Sanders,
County,Board,86,Round 1: 0.0086,AUDITED,Biden,
County,Board,87,Round 1: 0.0087,AUDITED,Biden,
County,Board,88,Round 1: 0.0088,AUDITED,Biden,
County,Board,89,Round 1: 0.0089,AUDITED,Sanders,
County,Board,90,Round 1: 0.0090,AUDITED,Biden,
County,Board,91,Round 1: 0.0091,AUDITED,Biden,
County,Board,92,Round 1: 0.0092,AUDITED,Biden,
County,Board,93,Round 1: 0.0093,AUDITED,Biden,
County,Board,94,Round 1: 0.0094,AUDITED,Sanders,
County,Board,95,Round 1: 0.0095,AUDITED,Biden,
County,Board,96,Round 1: 0.0096,AUDITED,Biden,
