####### ELECTION INFO ########
Election Name,State
Sample Prez Primary,MI

####### CONTESTS ########
Contest Name,Targeted?,Number of Winners,Votes Allowed,Total Ballots Cast,Tabulated Votes
POTUS (DEM),Targeted,1,1,2271110,Bennet: 1532; Biden: 838564; Bloomberg: 73175; Booker: 871; Buttigieg: 22374; Castro: 315; Delaney: 466; Gabbard: 9461; Klobuchar: 10969; Sanders: 576916; Sestak: 785; Steyer: 1732; Uncommitted: 19040; Warren: 26051; Williamson: 728; Yang: 2381
POTUS (Rep),Opportunistic,1,1,2271110,Sanford: 4258; Trump: 640522; Uncommitted: 28485; Walsh: 4067; Weld: 6099

####### AUDIT SETTINGS ########
Audit Name,Risk Limit,Random Seed,Online Data Entry?
ThursdayTest,10%,12345123451234512345,Yes

####### AUDIT BOARDS ########
Jurisdiction Name,Audit Board Name,Member 1 Name,Member 1 Affiliation,Member 2 Name,Member 2 Affiliation
Kalamazoo County,Audit Board #1,Snoopy Dog,Independent,Charlie Brown,
Keweenaw County,Audit Board #1,Mickey Mouse,Democrat,Minney Mouse,Republican

####### ROUNDS ########
Round Number,Contest Name,Targeted?,Sample Size,Risk Limit Met?,P-Value,Start Time,End Time,Audited Votes
1,POTUS (DEM),Targeted,663,No,,2020-05-14T22:25:10.487166,,Bennet: 0; Biden: 0; Bloomberg: 0; Booker: 0; Buttigieg: 0; Castro: 0; Delaney: 0; Gabbard: 0; Klobuchar: 0; Sanders: 0; Sestak: 0; Steyer: 0; Uncommitted: 0; Warren: 0; Williamson: 0; Yang: 0
1,POTUS (Rep),Opportunistic,663,No,,2020-05-14T22:25:10.487166,,Sanford: 0; Trump: 0; Uncommitted: 0; Walsh: 0; Weld: 0

####### SAMPLED BALLOTS ########
Jurisdiction Name,Batch Name,Ballot Position,Ticket Numbers,Audited?,Audit Result: POTUS (DEM),Audit Result: POTUS (Rep)
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 41",3,Round 1: 0.005400390,AUDITED,Gabbard,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 59",34,Round 1: 0.004454005,AUDITED,Williamson,Uncommitted
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 59",44,Round 1: 0.001222612,AUDITED,Warren,CANT_AGREE
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 61",35,Round 1: 0.001229166,AUDITED,,Weld
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 10, Ward 2, Precinct 11 & Ward 4, Precinct 34 Batch 62",26,Round 1: 0.010409650,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 1 Batch 139",34,Round 1: 0.002588748,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 214",0,Round 1: 0.005666633,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 56",18,Round 1: 0.000976901,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 57",0,Round 1: 0.011861040,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 2 Batch 57",30,Round 1: 0.009802243,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 142",37,Round 1: 0.009463729,NOT_AUDITED,,
Kalamazoo County,"AVCB City of Lansing, Ward 1, Precinct 3 Batch 144",44,Round 1: 0.000180778,NOT_AUDITED,,
